"DateTime","Volume","Dominance"
"2014-04-17 00:00:00",52936100,83.05226214065954
"2014-04-18 00:00:00",32366300,88.59348269396581
"2014-04-19 00:00:00",19158900,57.27571950027354
"2014-04-20 00:00:00",20042800,74.04720034284531
"2014-04-21 00:00:00",12975100,52.50781035013031
"2014-04-22 00:00:00",13710300,68.71883035190689
"2014-04-23 00:00:00",11861900,66.74149969897991
"2014-04-24 00:00:00",8910030,43.82161563998525
"2014-04-25 00:00:00",27998600,40.53931569109234
"2014-04-26 00:00:00",31809900,100
"2014-04-27 00:00:00",8288480,48.80083371113322
"2014-04-28 00:00:00",18407000,59.534128544814735
"2014-04-29 00:00:00",18158700,75.99912946307124
"2014-04-30 00:00:00",16835300,54.03914116691651
"2014-05-01 00:00:00",10634100,49.79233877575865
"2014-05-02 00:00:00",13399300,81.80131011031544
"2014-05-03 00:00:00",7992990,54.82762168687921
"2014-05-04 00:00:00",9089060,81.30549517394377
"2014-05-05 00:00:00",8501700,61.251440922190206
"2014-05-06 00:00:00",12386100,62.81748285795431
"2014-05-07 00:00:00",13337000,53.02729094436845
"2014-05-08 00:00:00",13913100,76.05488288189794
"2014-05-09 00:00:00",9915840,54.812415356126145
"2014-05-10 00:00:00",7235980,51.73471941201284
"2014-05-11 00:00:00",11529800,59.495441011801255
"2014-05-12 00:00:00",8384810,58.18219036450563
"2014-05-13 00:00:00",7877390,57.25013808540946
"2014-05-14 00:00:00",8295740,56.246118380907184
"2014-05-15 00:00:00",8749340,46.57521266515485
"2014-05-16 00:00:00",6576940,42.22564635939316
"2014-05-17 00:00:00",3524010,38.671457056039436
"2014-05-18 00:00:00",2865040,34.15250519730694
"2014-05-19 00:00:00",4957490,43.73149732714666
"2014-05-20 00:00:00",27283600,59.19712558636042
"2014-05-21 00:00:00",24632800,87.33084452764098
"2014-05-22 00:00:00",29657700,66.92700869938055
"2014-05-23 00:00:00",35148700,56.18245667876673
"2014-05-25 00:00:00",18722500,29.751783756296778
"2014-05-26 00:00:00",50567300,100
"2014-05-27 00:00:00",23017500,41.217351130466554
"2014-05-28 00:00:00",35857700,99.28095599351006
"2014-05-29 00:00:00",20176700,57.35129004658778
